FORMATO DE REQUISICI…N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,27-oct-16,,,
,10,,,,NAFAZOLINA 5% SOL. OFT. GOTERO FCO. C/15ML ,2597,,,
,10,,,,ALFAMETILDOPA 250MG C/30 TAB.,426,,,
,10,,,,"BENCILPENICILINA SODICA 1,000,000 UI + 1 FCO. C/2ML AMP. DIL.",707,,,
,10,,,,MEBENDAZOL 100MG C/6 TAB.,2600,,,
,10,,,,CARBAMAZEPINA SUSP. 2G/100ML,147,,,
,10,,,,NITAZOXANIDA 500MG C/6 COMP.,2972,,,
,10,,,,ORCIPRENALINA 20MG C/30 TAB.,2007,,,
,10,,,,RANITIDINA 40MG FCO C/30ML,1930,,,
,10,,,,DIENOGEST 2MG C/28 TAB.,2961,,,
,10,,,,DICLOFENACO + COLESTIRAMINA 140MG C/20 CAP.,2548,,,
,8,,,,BETAMETASONA PEDIATRICA  50MG GOTAS FCO. C/60ML,171,,,
,7,,,,DARBEPOETINA ALFA 500MCG JER. PRELLENADA,2985,,,
,7,,,,GLUCONATO DE POTASIO GK C/10 SOBRES,1232,,,
,5,,,,OCTREOTIDA LAR 20MG I.M. AMP.,2751,,,
,5,,,,MICOFENOLATO SODICO 360MG C/120 TAB.,2822,,,
,5,,,,LEUPRORELINA 22.5MG C/1 AMP.,2911,,,
,5,,,,FLUDROCORTISONA 0.1MG C/100 TAB.,1316,,,
,5,,,,SOMATROPINA 5MG PLUMA PRELLENADA C/1 DISPOSITIVO DE 1.5ML,2999,,,
,5,,,,APIXABAN 5MG C/60 TAB.,3020,,,
,5,,,,VIGABATRINA 500MG C/60 COMP.,757,,,
,5,,,,METILFENIDATO 18MG C/30 TAB.,253,,,
,5,,,,BROMURO DE IPRATROPIO 250MCG/ML SOL. NEBUL. FCO. C/20ML,41,,,
,5,,,,DICLOFENACO + CODEINA 50MG/50MG C/20 TAB.,2960,,,
,5,,,,MESALAZINA 1GR C/14 SUP.,969,,,
,5,,,,ALTHERA POLVO LATA C/450GR,2019,,,
,5,,,,FOSFOMICINA 500MG C/12 CAP.,2242,,,
,5,,,,MICONAZOL 2% TUBO GEL ORAL C/78GR,259,,,
,5,,,,RIFAMPICINA + ISONIASIDA 200MG/150MG C/24 CAP.,732,,,
,5,,,,MOMETASONA 1% SOL. FCO. C/30ML,1660,,,
,5,,,,NAN SIN LACTOSA FORMULA LACTEA EXCENTA DE LACTOSA LATA PVP. C/400GR,2624,,,
,5,,,,FENOBARBITAL 100MG C/40 TAB. (II),579,,,
,5,,,,ACIDO SALICILICO + ACIDO LACTICO + SOL. 26%/15% FCO. C/15ML,3031,,,
,5,,,,FORMULA PREMATUROS FORMULA LACTEA LATA C/400GR,1022,,,
,5,,,,PREDNISOLONA 10MG SUSP. OFT. C/5ML,784,,,
,5,,,,CICLOPIROX CREMA CUTANEA 20GR,2730,,,
,5,,,,COMPLEJO B SOL. INY. FCO. C/10ML,189,,,
,5,,,,MALEATO DE ERGOMETRINA 0.2MG C/20 TAB.,344,,,
,5,,,,DEXPANTENOL 5% TUBO GEL C/10GR,1006,,,
,5,,,,CEFALEXINA 125MG/5ML SUSP.,1482,,,
,5,,,,BROMOCRIPTINA 2.5MG C/14 TAB.,2785,,,
,5,,,,ESTOLATO DE ERITROMICINA 125MG SUSP. PED. C/100ML,1906,,,
,5,,,,HIPROMELOSA SOL. OFT GOTAS C/15ML,1437,,,
,5,,,,NAPROXENO + PARACETAMOL 100MG/200MG C/5 SUP.,1153,,,
,5,,,,AMPICILINA 250MG SUSP. C/60ML,2781,,,
,5,,,,ALCOHOL POLIVINILICO 14MG/ML SOL.OFT. C/15ML,7,,,
,5,,,,MEBENDAZOL SUSP. FCO. C/30ML,2626,,,
,5,,,,METRONIDAZOL 2.5GR SUSP. C/120ML,2628,,,
,5,,,,TETRACICLINA 250MG C/16 CAP.,2832,,,
,5,,,,DESMOPRESINA 10MCG C/25 DOSIS POR FCO SPRAY,2813,,,
,5,,,,ISONIAZIDA 100MG C/200 TAB.,2009,,,
,5,,,,NITROFURAL TARRO C/453.6GR,367,,,
,5,,,,5 FLUOROURACILO CREMA DE 5% TUBO C/20GR,2759,,,
,5,,,,CITRATO DE SODIO + LAURILSULFOACETATO DE SODIO SUSP. CON 4 ENEMAS EN APLICADOR DESECHABLE DE 5,538,,,
,5,,,,LANSOPRAZOL + CLARITROMICINA + AMOXICILINA 30/500/500MG C/7 BLISTER (2/2/4 CAP.),1284,,,
,5,,,,BICALUTAMIDA 50MG C/28 TAB.,2870,,,
,4,,,,NILOTIMIB 200MG C/28 CAP.,2936,,,
,4,,,,ENFAMIL SOYA FORMULA LACTEA LATA PVO 400GR,2584,,,
,4,,,,HALOPERIDOL 5MG C/20 TAB.,584,,,
,4,,,,TROMANTADINA TUBO GEL C/10GR,878,,,
,4,,,,DEXAMETASONA 0.5MG C/30 TAB.,2777,,,
,3,,,,TOCILIZUMAB 200MG/10ML SOL. INY. C/1 AMP.,2892,,,
,3,,,,TIMOLOL + LATANOPROST GOTAS OFT. C/2.5ML,1374,,,
,3,,,,HIALUNORATO DE SODIO + SULFATO DE CODROINTIN SOL. OFT.,1627,,,
,3,,,,"INTERFERON BETA-1a 30MCG (6,000,000 UI) C/1 JER. PRELLENADA",68,,,
,2,,,,GATIFLOXACINA FCO. GOTERO C/5ML,1050,,,
,2,,,,CLOZAPINA 100MG C/30 TAB. (II),606,,,
,2,,,,MESILATO DE IMATINIB 100MG C/60 CAP.,1246,,,
,1,,,,SORAFENIB 200MG C/112 COMP.,1936,,,
,1,,,,LAMIVUDINA + ZIDOVUDINA 150/300MG C/60 TAB.,188,,,
,1,,,,RIFAMPICINA + ISONIAZIDA + PIRAZINAMIDA 150MG/75MG/400MG C/24 GRAGEAS,731,,,
,1,,,,DARBEPOETINA ALFA 300MCG JER. PRELLENADA,2984,,,
